Size,np,ComputeTime,CommunicationTime,TotalTime
480,1,0.114009,0.005013,0.119022
480,4,0.029218,0.009749,0.038967
960,1,1.726185,0.021863,1.748048
960,4,0.240765,0.034312,0.275077
1920,1,19.890180,0.089678,19.979858
1920,4,5.497979,0.341479,5.839458
3840,1,299.909779,0.243419,300.153198
3840,4,48.515692,1.017296,49.532988
